epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,807.178,1.09471,0.4935,1.04156,0.98091,0.97541,0.97985,0.51354,1.24645,0.43553,1.08779,0.000511769,0.000511769,0.000511769
58,820.812,1.09626,0.48051,1.03208,0.9744,0.97329,0.9647,0.51809,1.29652,0.44255,1.10292,0.00049114,0.00049114,0.00049114
59,834.596,1.0624,0.47122,1.01421,0.97375,0.97406,0.96635,0.51706,1.29076,0.44933,1.10819,0.000470511,0.000470511,0.000470511
60,848.454,1.08596,0.47809,1.02804,0.97161,0.97541,0.96762,0.52915,1.27742,0.43803,1.10096,0.000449882,0.000449882,0.000449882
61,862.263,1.07474,0.47535,1.03052,0.97433,0.98254,0.97069,0.51183,1.33075,0.4563,1.1034,0.000429253,0.000429253,0.000429253
62,876.12,1.07346,0.47249,1.02981,0.96529,0.97541,0.95906,0.5047,1.29897,0.44891,1.11139,0.000408623,0.000408623,0.000408623
63,889.838,1.05684,0.46173,1.0205,0.96561,0.96618,0.95211,0.50895,1.30157,0.44767,1.10057,0.000387994,0.000387994,0.000387994
64,903.811,1.03896,0.4646,1.01292,0.96545,0.95625,0.95382,0.505,1.2859,0.44214,1.10054,0.000367365,0.000367365,0.000367365
65,918.254,1.03325,0.4667,1.01038,0.95375,0.95082,0.94802,0.50051,1.30987,0.44666,1.11075,0.000346736,0.000346736,0.000346736
66,932.116,1.03174,0.46797,1.01813,0.97297,0.96721,0.96483,0.50821,1.28594,0.44117,1.10864,0.000326107,0.000326107,0.000326107
67,945.652,1.02721,0.46132,1.01031,0.96609,0.97535,0.96204,0.51915,1.2612,0.43702,1.10083,0.000305478,0.000305478,0.000305478
68,959.572,1.00413,0.4498,1.00368,0.97321,0.96721,0.96002,0.51416,1.28622,0.44594,1.10686,0.000284849,0.000284849,0.000284849
69,973.481,1.01798,0.45407,1.00928,0.97234,0.96721,0.96291,0.51144,1.29748,0.44676,1.11132,0.00026422,0.00026422,0.00026422
70,987.225,1.01773,0.44336,1.01459,0.9584,0.96721,0.95609,0.51439,1.29776,0.46723,1.11599,0.00024359,0.00024359,0.00024359
71,998.987,0.96381,0.42375,0.9811,0.95076,0.96676,0.94884,0.50891,1.2986,0.44571,1.11523,0.000222961,0.000222961,0.000222961
72,1010.74,0.96187,0.41587,0.99042,0.93236,0.93443,0.92302,0.49685,1.3614,0.45941,1.13388,0.000202332,0.000202332,0.000202332
73,1022.83,0.94977,0.40627,0.98325,0.95415,0.95082,0.94371,0.50299,1.31963,0.45734,1.12254,0.000181703,0.000181703,0.000181703
74,1035.24,0.95076,0.40411,0.97849,0.96269,0.95902,0.94756,0.50813,1.31366,0.44979,1.12221,0.000161074,0.000161074,0.000161074
75,1047.28,0.93132,0.40436,0.97668,0.94436,0.94262,0.92141,0.4889,1.32317,0.44253,1.12462,0.000140445,0.000140445,0.000140445
76,1059.06,0.93485,0.40256,0.98263,0.94967,0.95082,0.93615,0.49274,1.35253,0.44786,1.13138,0.000119816,0.000119816,0.000119816
77,1070.77,0.91417,0.39596,0.97185,0.95263,0.95082,0.93399,0.48972,1.32249,0.43383,1.12723,9.91865e-05,9.91865e-05,9.91865e-05
78,1082.64,0.91529,0.38983,0.97508,0.96426,0.96721,0.9646,0.49478,1.29966,0.43363,1.12498,7.85574e-05,7.85574e-05,7.85574e-05
79,1094.56,0.90954,0.39248,0.96515,0.94655,0.95082,0.92719,0.49884,1.31022,0.43194,1.12596,5.79283e-05,5.79283e-05,5.79283e-05
80,1106.46,0.91987,0.38899,0.96961,0.94507,0.95082,0.92502,0.49566,1.31721,0.43287,1.13045,3.72991e-05,3.72991e-05,3.72991e-05
